NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Jaxon Smith-Njigba,17,119,163,1793,15.1,10,63,27,105.5,3,1,528,79
Cooper Kupp,16,47,70,593,12.6,2,67,8,37.1,1,1,293,26
AJ Barner,17,52,68,519,10,6,61,3,30.5,2,0,271,26
Kenneth Walker III,17,31,36,282,9.1,0,46,5,16.6,1,0,339,12
Rashid Shaheed,9,15,26,188,12.5,0,33,3,20.9,0,0,33,7
Elijah Arroyo,13,15,26,179,11.9,1,32,4,13.8,1,1,78,7
Tory Horton,8,13,22,161,12.4,5,25,3,20.1,0,0,33,7
Zach Charbonnet,16,20,24,144,7.2,0,21,1,9,0,0,123,7
Cody White,10,3,4,90,30,1,60,2,9,0,0,58,2
Dareke Young,9,2,3,48,24,0,36,1,5.3,0,0,0,2
Eric Saubert,11,4,7,31,7.8,0,12,0,2.8,0,0,16,2
Jake Bobo,11,2,2,20,10,0,17,0,1.8,0,0,6,1
George Holani,11,2,2,15,7.5,0,11,0,1.4,0,0,16,1
